Data,Position,Conference,Receiving Team,Player,LeftAnchor,From School,Right Anchor
QB Thomas Castellanos (from UCF),QB,ACC,Boston College,Thomas Castellanos,23,UCF,32
RB Kye Robichaux (from Western Kentucky),RB,ACC,Boston College,Kye Robichaux,18,Western Kentucky,40
WR Ryan O'Keefe (from UCF),WR,ACC,Boston College,Ryan O'Keefe,17,UCF,26
OL Kyle Hergel (from Texas State),OL,ACC,Boston College,Kyle Hergel,16,Texas State,33
OL Logan Taylor (from Virginia),OL,ACC,Boston College,Logan Taylor,17,Virginia,31
DL George Rooks (from Michigan),DL,ACC,Boston College,George Rooks,17,Michigan,31
DL Caleb Jones (from North Carolina A&T),DL,ACC,Boston College,Caleb Jones,16,North Carolina A&T,40
DB Victor Nelson Jr. (from LIU),DB,ACC,Boston College,Victor Nelson Jr.,22,LIU,31
DB Khari Johnson (from Arkansas),DB,ACC,Boston College,Khari Johnson,18,Arkansas,32
DB Alex Washington (from Harvard),DB,ACC,Boston College,Alex Washington,20,Harvard,33
QB Paul Tyson (from Arizona State),QB,ACC,Boston College,Paul Tyson,15,Arizona State,34
WR Hayes Sutton (from Brown),WR,ACC,Boston College,Hayes Sutton,17,Brown,28
OL Ben Hoitink (from Penn),OL,ACC,Boston College,Ben Hoitink,16,Penn,26
OL Jake Hornibrook (from Stanford),OL,ACC,Boston College,Jake Hornibrook,20,Stanford,34
OL Jacob Long (from Angelo State),OL,ACC,Boston College,Jacob Long,15,Angelo State,33
DL Sean Kelly (from Brown),DL,ACC,Boston College,Sean Kelly,15,Brown,26
CB Al Blades Jr. (from Miami),CB,ACC,Boston College,Al Blades Jr.,18,Miami,29
DB Myles Jones (from Texas A&M),DB,ACC,Boston College,Myles Jones,16,Texas A&M,31
DB Jeremiah Lewis (from Northwestern),DB,ACC,Boston College,Jeremiah Lewis,19,Northwestern,37
RB Caziah Holmes (from Penn State),RB,ACC,Florida State,Caziah Holmes,18,Penn State,34
WR Keon Coleman (from Michigan State),WR,ACC,Florida State,Keon Coleman,17,Michigan State,37
TE Jaheim Bell (from South Carolina),TE,ACC,Florida State,Jaheim Bell,16,South Carolina,36
TE Kyle Morlock (from Shorter),TE,ACC,Florida State,Kyle Morlock,17,Shorter,30
OL Casey Roddick (from Colorado),OL,ACC,Florida State,Casey Roddick,18,Colorado,32
OL Keiondre Jones (from Auburn),OL,ACC,Florida State,Keiondre Jones,19,Auburn,31
OL Jeremiah Byers (from UTEP),OL,ACC,Florida State,Jeremiah Byers,19,UTEP,29
DL Darrell Jackson (from Miami) waiver was denied for 2023,DL,ACC,Florida State,Darrell Jackson,20,Miami,31
DL Braden Fiske (from Western Michigan),DL,ACC,Florida State,Braden Fiske,17,Western Michigan,39
DL Gilber Edmond (from South Carolina),DL,ACC,Florida State,Gilber Edmond,18,South Carolina,38
LB Justin Cryer (from Northwestern),LB,ACC,Florida State,Justin Cryer,17,Northwestern,35
CB Fentrell Cypress II (from Virginia),CB,ACC,Florida State,Fentrell Cypress II,24,Virginia,38
DB Peter Warrick Jr. (from FAU),DB,ACC,Florida State,Peter Warrick Jr.,22,FAU,31
K Tyler Keltner (from East Tennessee State),K ,ACC,Florida State,Tyler Keltner,17,East Tennessee State,43
QB Haynes King (from Texas A&M),QB,ACC,Georgia Tech,Haynes King,16,Texas A&M,31
RB Trevion Cooley (from Louisville),RB,ACC,Georgia Tech,Trevion Cooley,19,Louisville,35
WR Dominick Blaylock (from Georgia),WR,ACC,Georgia Tech,Dominick Blaylock,22,Georgia,35
WR Chase Lane (from Texas A&M),WR,ACC,Georgia Tech,Chase Lane,15,Texas A&M,30
WR Christian Leary (from Alabama),WR,ACC,Georgia Tech,Christian Leary,20,Alabama,33
WR Abdul Janneh (from Duquesne),WR,ACC,Georgia Tech,Abdul Janneh,17,Duquesne,31
WR Justin Brown (from Mississippi State),WR,ACC,Georgia Tech,Justin Brown,17,Mississippi State,40
TE Jackson Long (from USF),TE,ACC,Georgia Tech,Jackson Long,17,USF,26
TE Brett Seither (from Georgia),TE,ACC,Georgia Tech,Brett Seither,18,Georgia,31
OL Jordan Brown (from Charlotte),OL,ACC,Georgia Tech,Jordan Brown,17,Charlotte,32
OL Connor Scaglione (from Princeton),OL,ACC,Georgia Tech,Connor Scaglione,21,Princeton,36
DL Etinosa Reuben (from Clemson),DL,ACC,Georgia Tech,Etinosa Reuben,19,Clemson,32
DL Eddie Kelly (from USF),DL,ACC,Georgia Tech,Eddie Kelly,16,USF,25
LB Braelen Oliver (from Minnesota),LB,ACC,Georgia Tech,Braelen Oliver,19,Minnesota,34
LB Andre White (from Texas A&M),LB,ACC,Georgia Tech,Andre White,16,Texas A&M,31
LB Paul Moala (from Idaho),LB,ACC,Georgia Tech,Paul Moala,15,Idaho,26
LB Austin Dean (from Rutgers),LB,ACC,Georgia Tech,Austin Dean,16,Rutgers,29
DB Omar Daniels (from Kansas State),DB,ACC,Georgia Tech,Omar Daniels,17,Kansas State,35
QB Jack Plummer (from California),QB,ACC,Louisville,Jack Plummer,17,California,33
QB Brady Allen (from Purdue),QB,ACC,Louisville,Brady Allen,16,Purdue,28
QB Harrison Bailey (from UNLV),QB,ACC,Louisville,Harrison Bailey,20,UNLV,30
RB Isaac Guerendo (from Wisconsin),RB,ACC,Louisville,Isaac Guerendo,19,Wisconsin,34
WR Jimmy Calloway (from Tennessee),WR,ACC,Louisville,Jimmy Calloway,19,Tennessee,34
WR Jamari Thrash (from Georgia State),WR,ACC,Louisville,Jamari Thrash,18,Georgia State,37
WR Kevin Coleman (from Jackson State),WR,ACC,Louisville,Kevin Coleman,18,Jackson State,37
WR Jadon Thompson (from Cincinnati),WR,ACC,Louisville,Jadon Thompson,19,Cincinnati,35
WR Allan Houston III (from Brown),WR,ACC,Louisville,Allan Houston III,22,Brown,33
TE Joey Gatewood (from UCF),TE,ACC,Louisville,Joey Gatewood,18,UCF,27
OL John Paul Flores (from Virginia),OL,ACC,Louisville,John Paul Flores,21,Virginia,35
