Player,Conference,Receiving School,Transferring School,Position
Thomas Castellanos,,Boston College,,QB
Kye Robichaux,,Boston College,,RB
Ryan O'Keefe,,Boston College,,WR
Logan Taylor,,OL Kyle Hergel (from Texas State),,OL
George Rooks,,OL Kyle Hergel (from Texas State),,DL
Caleb Jones,,OL Kyle Hergel (from Texas State),,DL
Victor Nelson Jr.,,OL Kyle Hergel (from Texas State),,DB
Khari Johnson,,OL Kyle Hergel (from Texas State),,DB
Alex Washington,,OL Kyle Hergel (from Texas State),,DB
Hayes Sutton,,QB Paul Tyson (from Arizona State),,WR
Ben Hoitink,,QB Paul Tyson (from Arizona State),,OL
Jake Hornibrook,,QB Paul Tyson (from Arizona State),,OL
Sean Kelly,,OL Jacob Long (from Angelo State),,DL
Al Blades Jr.,,OL Jacob Long (from Angelo State),,CB
Myles Jones,,OL Jacob Long (from Angelo State),,DB
Jeremiah Lewis,,OL Jacob Long (from Angelo State),,DB
Jaheim Bell,,WR Keon Coleman (from Michigan State),,TE
Kyle Morlock,,WR Keon Coleman (from Michigan State),,TE
Casey Roddick (from Colorado),,WR Keon Coleman (from Michigan State),,OL
Keiondre Jones,,WR Keon Coleman (from Michigan State),,OL
Jeremiah Byers,,WR Keon Coleman (from Michigan State),,OL
Darrell Jackson,,WR Keon Coleman (from Michigan State),,DL
Braden Fiske,,WR Keon Coleman (from Michigan State),,DL
Gilber Edmond,,WR Keon Coleman (from Michigan State),,DL
Justin Cryer,,WR Keon Coleman (from Michigan State),,LB
Fentrell Cypress II,,WR Keon Coleman (from Michigan State),,CB
Peter Warrick Jr.,,WR Keon Coleman (from Michigan State),,DB
Haynes King,,K Tyler Keltner (from East Tennessee State),,QB
Trevion Cooley,,K Tyler Keltner (from East Tennessee State),,RB
Dominick Blaylock,,K Tyler Keltner (from East Tennessee State),,WR
Chase Lane,,K Tyler Keltner (from East Tennessee State),,WR
Christian Leary,,K Tyler Keltner (from East Tennessee State),,WR
Abdul Janneh,,K Tyler Keltner (from East Tennessee State),,WR
Jackson Long,,WR Justin Brown (from Mississippi State),,TE
Brett Seither,,WR Justin Brown (from Mississippi State),,TE
Jordan Brown,,WR Justin Brown (from Mississippi State),,OL
Connor Scaglione,,WR Justin Brown (from Mississippi State),,OL
Etinosa Reuben,,WR Justin Brown (from Mississippi State),,DL
Eddie Kelly,,WR Justin Brown (from Mississippi State),,DL
Braelen Oliver,,WR Justin Brown (from Mississippi State),,LB
Andre White,,WR Justin Brown (from Mississippi State),,LB
Paul Moala,,WR Justin Brown (from Mississippi State),,LB
Austin Dean,,WR Justin Brown (from Mississippi State),,LB
Jack Plummer,,DB Omar Daniels (from Kansas State),,QB
Brady Allen,,DB Omar Daniels (from Kansas State),,QB
Harrison Bailey,,DB Omar Daniels (from Kansas State),,QB
Isaac Guerendo,,DB Omar Daniels (from Kansas State),,RB
Jimmy Calloway,,DB Omar Daniels (from Kansas State),,WR
Jadon Thompson,,WR Kevin Coleman (from Jackson State),,WR
Allan Houston III,,WR Kevin Coleman (from Jackson State),,WR
Joey Gatewood,,WR Kevin Coleman (from Jackson State),,TE
John Paul Flores,,WR Kevin Coleman (from Jackson State),,OL
Eric Miller,,WR Kevin Coleman (from Jackson State),,OL
Lance Robinson,,WR Kevin Coleman (from Jackson State),,OL
Trevonte Sylvester,,WR Kevin Coleman (from Jackson State),,OL
Willie Tyler,,WR Kevin Coleman (from Jackson State),,OL
Vincent Lumia,,WR Kevin Coleman (from Jackson State),,OL
Stephon Herron,,WR Kevin Coleman (from Jackson State),,DL
Keith Brown,,DL Jeffery Clark (from Georgia State),,LB
Marcus Washington,,DL Jeffery Clark (from Georgia State),,CB
Gilbert Frierson,,DL Jeffery Clark (from Georgia State),,DB
Cam'Ron Kelly,,DL Jeffery Clark (from Georgia State),,DB
Storm Duck,,DL Jeffery Clark (from Georgia State),,CB
Jalil Martin,,DL Jeffery Clark (from Georgia State),,DB
Devin Neal,,DL Jeffery Clark (from Georgia State),,S
Marquis Groves-Killebrew,,DL Jeffery Clark (from Georgia State),,DB
Nick Lopez,,DL Jeffery Clark (from Georgia State),,K
Ajay Allen,,DL Jeffery Clark (from Georgia State),,RB
Tyler Harrell,,DL Jeffery Clark (from Georgia State),,WR
Cam McCormick,,DL Jeffery Clark (from Georgia State),,TE
Javion Cohen,,DL Jeffery Clark (from Georgia State),,OL
Matt Lee,,OL Luis Cristobal (from Georgia State),,OL
Branson Deen,,DL Thomas Gore (from Georgia State),,DL
Anthony Campbell,,DL Thomas Gore (from Georgia State),,DL
Rocky Shelton,,LB Francisco Mauigoa (from Washington State),,LB
K.J. Cloyd,,LB Francisco Mauigoa (from Washington State),,LB
Jaden Davis,,LB Francisco Mauigoa (from Washington State),,CB
Davonte Brown,,LB Francisco Mauigoa (from Washington State),,DB
Jadais Richard,,LB Francisco Mauigoa (from Washington State),,DB
Nate McCollum,,WR Devontez Walker (from Kent State) waiver to play was denied for 2023,,WR
Willie Lampkin,,WR Devontez Walker (from Kent State) waiver to play was denied for 2023,,OL
Armani Chatman,,DB Alijah Huzzie (from East Tennessee State),,CB
Derrik Allen,,DB Alijah Huzzie (from East Tennessee State),,S
Ryan Coe,,S Antavious Lane (from Georgia State),,K
Brennan Armstrong,,NC State,,QB
Bradley Rozner,,NC State,,WR
Dacari Collins,,NC State,,WR
Dawson Jaramillo,,NC State,,OL
Yousef Mugharbil,,NC State,,OL
Noah Potter,,NC State,,DL
Robert Kennedy III,,NC State,,DB
Brayden Narveson,,NC State,,K
Daejon Reynolds,,QB Christian Veilleux (from Penn State),,WR
Malcolm Epps,,QB Christian Veilleux (from Penn State),,TE
Jackson Brown,,QB Christian Veilleux (from Penn State),,OL
Todd Hill,,QB Christian Veilleux (from Penn State),,LB
Donovan McMillon,,QB Christian Veilleux (from Penn State),,S
Derrick Davis,,QB Christian Veilleux (from Penn State),,DB/RB
Jeff Yurk,,QB Christian Veilleux (from Penn State),,P
Braden Davis,,QB Christian Veilleux (from Penn State),,QB
Joe More,,QB Christian Veilleux (from Penn State),,OL
David Wohlabaugh,,QB Christian Veilleux (from Penn State),,OL
Braylen Ingraham,,QB Christian Veilleux (from Penn State),,DL
Khalib Gilmore,,QB Christian Veilleux (from Penn State),,LB
Jayden Bellamy,,QB Christian Veilleux (from Penn State),,DB
Jaeden Gould,,QB Christian Veilleux (from Penn State),,S
Myles Farmer,,QB Christian Veilleux (from Penn State),,DB
Jack Stonehouse,,QB Christian Veilleux (from Penn State),,P
Tom Callahan,,QB Christian Veilleux (from Penn State),,LS
Tony Muskett,,QB Christian Veilleux (from Penn State),,QB
Kobe Pace,,QB Christian Veilleux (from Penn State),,RB
Malik Washington,,QB Christian Veilleux (from Penn State),,WR
Ugonna Nnanna,,QB Christian Veilleux (from Penn State),,OL
Brian Stevens,,OL Jimmy Christ (from Penn State),,OL
Malcolm Greene,,OL Jimmy Christ (from Penn State),,DB
Sam Westfall,,DB Tayvonn Kyle (from Iowa State),,DB
Tech,,DB Tayvonn Kyle (from Iowa State),,Virginia
Kyron Drones,,DB Tayvonn Kyle (from Iowa State),,QB
Bhayshul Tuten,,DB Tayvonn Kyle (from Iowa State),,RB
Ali Jennings,,DB Tayvonn Kyle (from Iowa State),,WR
Jaylin Lane,,WR Da'Quan Felton (from Norfolk State),,WR
Clayton Frady,,WR Da'Quan Felton (from Norfolk State),,OL
