0
ï»¿0
"Ã¯Â»Â¿Player,Conference,Receiving School,Transferring School,Position"
"Thomas Castellanos,ACC,Boston College,UCF,QB"
"Kye Robichaux,ACC,Boston College,Western Kentucky,RB"
"Ryan O'Keefe,ACC,Boston College,UCF,WR"
"Kyle Hergel,ACC,Boston College,Texas State,OL"
"Logan Taylor,ACC,Boston College,Virginia,OL"
"George Rooks,ACC,Boston College,Michigan,DL"
"Caleb Jones,ACC,Boston College,North Carolina A&T,DL"
"Victor Nelson Jr.,ACC,Boston College,LIU,DB"
"Khari Johnson,ACC,Boston College,Arkansas,DB"
"Alex Washington,ACC,Boston College,Harvard,DB"
"Paul Tyson,ACC,Boston College,Arizona State,QB"
"Hayes Sutton,ACC,Boston College,Brown,WR"
"Ben Hoitink,ACC,Boston College,Penn,OL"
"Jake Hornibrook,ACC,Boston College,Stanford,OL"
"Jacob Long,ACC,Boston College,Angelo State,OL"
"Sean Kelly,ACC,Boston College,Brown,DL"
"Al Blades Jr.,ACC,Boston College,Miami,CB"
"Myles Jones,ACC,Boston College,Texas A&M,DB"
"Jeremiah Lewis,ACC,Boston College,Northwestern,DB"
"Caziah Holmes,ACC,FloridaÃ‚Â State,Penn State,RB"
"Keon Coleman,ACC,FloridaÃ‚Â State,Michigan State,WR"
"Jaheim Bell,ACC,FloridaÃ‚Â State,South Carolina,TE"
"Kyle Morlock,ACC,FloridaÃ‚Â State,Shorter,TE"
"Keiondre Jones,ACC,OL Casey Roddick (fromÃ‚Â Colorado),Auburn,OL"
"Jeremiah Byers,ACC,OL Casey Roddick (fromÃ‚Â Colorado),UTEP,OL"
"Darrell Jackson,ACC,OL Casey Roddick (fromÃ‚Â Colorado),Miami,DL"
"Braden Fiske,ACC,OL Casey Roddick (fromÃ‚Â Colorado),Western Michigan,DL"
"Gilber Edmond,ACC,OL Casey Roddick (fromÃ‚Â Colorado),South Carolina,DL"
"Justin Cryer,ACC,OL Casey Roddick (fromÃ‚Â Colorado),Northwestern,LB"
"Fentrell Cypress II,ACC,OL Casey Roddick (fromÃ‚Â Colorado),Virginia,CB"
"Peter Warrick Jr.,ACC,OL Casey Roddick (fromÃ‚Â Colorado),FAU,DB"
"Tyler Keltner,ACC,OL Casey Roddick (fromÃ‚Â Colorado),East Tennessee State,K"
"Haynes King,ACC,GeorgiaÃ‚Â Tech,Texas A&M,QB"
"Trevion Cooley,ACC,GeorgiaÃ‚Â Tech,Louisville,RB"
"Dominick Blaylock,ACC,GeorgiaÃ‚Â Tech,Georgia,WR"
"Chase Lane,ACC,GeorgiaÃ‚Â Tech,Texas A&M,WR"
"Christian Leary,ACC,GeorgiaÃ‚Â Tech,Alabama,WR"
"Abdul Janneh,ACC,GeorgiaÃ‚Â Tech,Duquesne,WR"
"Justin Brown,ACC,GeorgiaÃ‚Â Tech,Mississippi State,WR"
"Jackson Long,ACC,GeorgiaÃ‚Â Tech,USF,TE"
"Brett Seither,ACC,GeorgiaÃ‚Â Tech,Georgia,TE"
"Jordan Brown,ACC,GeorgiaÃ‚Â Tech,Charlotte,OL"
"Connor Scaglione,ACC,GeorgiaÃ‚Â Tech,Princeton,OL"
"Etinosa Reuben,ACC,GeorgiaÃ‚Â Tech,Clemson,DL"
"Eddie Kelly,ACC,GeorgiaÃ‚Â Tech,USF,DL"
"Braelen Oliver,ACC,GeorgiaÃ‚Â Tech,Minnesota,LB"
"Andre White,ACC,GeorgiaÃ‚Â Tech,Texas A&M,LB"
"Paul Moala,ACC,GeorgiaÃ‚Â Tech,Idaho,LB"
"Austin Dean,ACC,GeorgiaÃ‚Â Tech,Rutgers,LB"
"Omar Daniels,ACC,GeorgiaÃ‚Â Tech,Kansas State,DB"
"Jack Plummer,ACC,Louisville,California,QB"
"Brady Allen,ACC,Louisville,Purdue,QB"
"Harrison Bailey,ACC,Louisville,UNLV,QB"
"Isaac Guerendo,ACC,Louisville,Wisconsin,RB"
"Jimmy Calloway,ACC,Louisville,Tennessee,WR"
"Jamari Thrash,ACC,Louisville,Georgia State,WR"
"Kevin Coleman,ACC,Louisville,Jackson State,WR"
"Jadon Thompson,ACC,Louisville,Cincinnati,WR"
"Allan Houston III,ACC,Louisville,Brown,WR"
"Joey Gatewood,ACC,Louisville,UCF,TE"
"John Paul Flores,ACC,Louisville,Virginia,OL"
"Eric Miller,ACC,Louisville,Purdue,OL"
"Lance Robinson,ACC,Louisville,Houston,OL"
"Trevonte Sylvester,ACC,Louisville,Houston,OL"
"Willie Tyler,ACC,Louisville,Rutgers,OL"
"Vincent Lumia,ACC,Louisville,Duquesne,OL"
"Stephon Herron,ACC,Louisville,Stanford,DL"
"Rodney McGraw,ACC,Louisville,Penn State,DL"
"Jeffery Clark,ACC,Louisville,Georgia State,DL"
