,Player,Conference,Receiving School,Transferring School,Position
0,Thomas Castellanos,,Boston College,UCF,QB
1,Kye Robichaux,,Boston College,Western Kentucky,RB
2,Ryan O'Keefe,,Boston College,UCF,WR
3,Logan Taylor,,OL Kyle Hergel (from Texas State),Virginia,OL
4,George Rooks,,OL Kyle Hergel (from Texas State),Michigan,DL
5,Caleb Jones,,OL Kyle Hergel (from Texas State),North Carolina A&T,DL
6,Victor Nelson Jr.,,OL Kyle Hergel (from Texas State),LIU,DB
7,Khari Johnson,,OL Kyle Hergel (from Texas State),Arkansas,DB
8,Alex Washington,,OL Kyle Hergel (from Texas State),Harvard,DB
9,Hayes Sutton,,QB Paul Tyson (from Arizona State),Brown,WR
10,Ben Hoitink,,QB Paul Tyson (from Arizona State),Penn,OL
11,Jake Hornibrook,,QB Paul Tyson (from Arizona State),Stanford,OL
12,Sean Kelly,,OL Jacob Long (from Angelo State),Brown,DL
13,Al Blades Jr.,,OL Jacob Long (from Angelo State),Miami,CB
14,Myles Jones,,OL Jacob Long (from Angelo State),Texas A&M,DB
15,Jeremiah Lewis,,OL Jacob Long (from Angelo State),Northwestern,DB
16,Jaheim Bell,,WR Keon Coleman (from Michigan State),South Carolina,TE
17,Kyle Morlock,,WR Keon Coleman (from Michigan State),Shorter,TE
18,Casey Roddick (from Colorado),,WR Keon Coleman (from Michigan State),,OL
19,Keiondre Jones,,WR Keon Coleman (from Michigan State),Auburn,OL
20,Jeremiah Byers,,WR Keon Coleman (from Michigan State),UTEP,OL
21,Darrell Jackson,,WR Keon Coleman (from Michigan State),Miami) waiver was denied for 2023,DL
22,Braden Fiske,,WR Keon Coleman (from Michigan State),Western Michigan,DL
23,Gilber Edmond,,WR Keon Coleman (from Michigan State),South Carolina,DL
24,Justin Cryer,,WR Keon Coleman (from Michigan State),Northwestern,LB
25,Fentrell Cypress II,,WR Keon Coleman (from Michigan State),Virginia,CB
26,Peter Warrick Jr.,,WR Keon Coleman (from Michigan State),FAU,DB
27,Haynes King,,K Tyler Keltner (from East Tennessee State),Texas A&M,QB
28,Trevion Cooley,,K Tyler Keltner (from East Tennessee State),Louisville,RB
29,Dominick Blaylock,,K Tyler Keltner (from East Tennessee State),Georgia,WR
30,Chase Lane,,K Tyler Keltner (from East Tennessee State),Texas A&M,WR
31,Christian Leary,,K Tyler Keltner (from East Tennessee State),Alabama,WR
32,Abdul Janneh,,K Tyler Keltner (from East Tennessee State),Duquesne,WR
33,Jackson Long,,WR Justin Brown (from Mississippi State),USF,TE
34,Brett Seither,,WR Justin Brown (from Mississippi State),Georgia,TE
35,Jordan Brown,,WR Justin Brown (from Mississippi State),Charlotte,OL
36,Connor Scaglione,,WR Justin Brown (from Mississippi State),Princeton,OL
37,Etinosa Reuben,,WR Justin Brown (from Mississippi State),Clemson,DL
38,Eddie Kelly,,WR Justin Brown (from Mississippi State),USF,DL
39,Braelen Oliver,,WR Justin Brown (from Mississippi State),Minnesota,LB
40,Andre White,,WR Justin Brown (from Mississippi State),Texas A&M,LB
41,Paul Moala,,WR Justin Brown (from Mississippi State),Idaho,LB
42,Austin Dean,,WR Justin Brown (from Mississippi State),Rutgers,LB
43,Jack Plummer,,DB Omar Daniels (from Kansas State),California,QB
44,Brady Allen,,DB Omar Daniels (from Kansas State),Purdue,QB
45,Harrison Bailey,,DB Omar Daniels (from Kansas State),UNLV,QB
46,Isaac Guerendo,,DB Omar Daniels (from Kansas State),Wisconsin,RB
47,Jimmy Calloway,,DB Omar Daniels (from Kansas State),Tennessee,WR
48,Jadon Thompson,,WR Kevin Coleman (from Jackson State),Cincinnati,WR
49,Allan Houston III,,WR Kevin Coleman (from Jackson State),Brown,WR
50,Joey Gatewood,,WR Kevin Coleman (from Jackson State),UCF,TE
51,John Paul Flores,,WR Kevin Coleman (from Jackson State),Virginia,OL
52,Eric Miller,,WR Kevin Coleman (from Jackson State),Purdue,OL
53,Lance Robinson,,WR Kevin Coleman (from Jackson State),Houston,OL
54,Trevonte Sylvester,,WR Kevin Coleman (from Jackson State),Houston,OL
55,Willie Tyler,,WR Kevin Coleman (from Jackson State),Rutgers,OL
56,Vincent Lumia,,WR Kevin Coleman (from Jackson State),Duquesne,OL
57,Stephon Herron,,WR Kevin Coleman (from Jackson State),Stanford,DL
58,Keith Brown,,DL Jeffery Clark (from Georgia State),Oregon,LB
59,Marcus Washington,,DL Jeffery Clark (from Georgia State),Georgia,CB
60,Gilbert Frierson,,DL Jeffery Clark (from Georgia State),Miami,DB
61,Cam'Ron Kelly,,DL Jeffery Clark (from Georgia State),North Carolina,DB
62,Storm Duck,,DL Jeffery Clark (from Georgia State),North Carolina,CB
63,Jalil Martin,,DL Jeffery Clark (from Georgia State),Nebraska,DB
64,Devin Neal,,DL Jeffery Clark (from Georgia State),Baylor,S
65,Marquis Groves-Killebrew,,DL Jeffery Clark (from Georgia State),Texas A&M,DB
66,Nick Lopez,,DL Jeffery Clark (from Georgia State),California,K
67,Ajay Allen,,DL Jeffery Clark (from Georgia State),Nebraska,RB
68,Tyler Harrell,,DL Jeffery Clark (from Georgia State),Alabama,WR
69,Cam McCormick,,DL Jeffery Clark (from Georgia State),Oregon,TE
70,Javion Cohen,,DL Jeffery Clark (from Georgia State),Alabama,OL
71,Matt Lee,,OL Luis Cristobal (from Georgia State),UCF,OL
72,Branson Deen,,DL Thomas Gore (from Georgia State),Purdue,DL
73,Anthony Campbell,,DL Thomas Gore (from Georgia State),ULM,DL
74,Rocky Shelton,,LB Francisco Mauigoa (from Washington State),Duke,LB
75,K.J. Cloyd,,LB Francisco Mauigoa (from Washington State),Louisville,LB
76,Jaden Davis,,LB Francisco Mauigoa (from Washington State),Oklahoma,CB
77,Davonte Brown,,LB Francisco Mauigoa (from Washington State),UCF,DB
78,Jadais Richard,,LB Francisco Mauigoa (from Washington State),Vanderbilt,DB
79,Nate McCollum,,WR Devontez Walker (from Kent State) waiver to play was denied for 2023,Georgia Tech,WR
80,Willie Lampkin,,WR Devontez Walker (from Kent State) waiver to play was denied for 2023,Coastal Carolina,OL
81,Armani Chatman,,DB Alijah Huzzie (from East Tennessee State),Virginia Tech,CB
82,Derrik Allen,,DB Alijah Huzzie (from East Tennessee State),Georgia Tech,S
83,Ryan Coe,,S Antavious Lane (from Georgia State),Cincinnati,K
84,Brennan Armstrong,,NC State,Virginia,QB
85,Bradley Rozner,,NC State,Rice,WR
86,Dacari Collins,,NC State,Clemson,WR
87,Dawson Jaramillo,,NC State,Oregon,OL
88,Yousef Mugharbil,,NC State,Colorado,OL
89,Noah Potter,,NC State,Cincinnati,DL
90,Robert Kennedy III,,NC State,Old Dominion,DB
91,Brayden Narveson,,NC State,Western Kentucky,K
