Rk,Year,Conf,OverallW,OverallL,OverallT,OverallPct,ConferenceW,ConferenceL,ConferenceT,ConferencePct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2022,Big 12,,,0,,,,,,-0.32,-0.32,9,9,,Brent Venables (0-0),,
2,2021,Big 12,11,2,0,0.846,7,2,0,0.778,11.75,2.68,2,2,10,"Lincoln Riley (10-2), Bob Stoops (1-0)",Alamo Bowl-W,
3,2020,Big 12,9,2,0,0.818,7,2,0,0.778,17.62,3.71,5,3,6,Lincoln Riley (9-2),Cotton Bowl-W,
4,2019,Big 12,12,2,0,0.857,8,1,0,0.889,15.79,4.36,4,4,7,Lincoln Riley (12-2),Peach Bowl-L,
5,2018,Big 12,12,2,0,0.857,9,1,0,0.9,18.06,6.14,7,4,4,Lincoln Riley (12-2),Orange Bowl-L,
6,2017,Big 12,12,2,0,0.857,8,1,0,0.889,19.05,5.26,7,2,3,Lincoln Riley (12-2),Rose Bowl-L,
7,2016,Big 12,11,2,0,0.846,9,0,0,1,14.98,3.6,3,3,5,Bob Stoops (11-2),Sugar Bowl-W,
8,2015,Big 12,11,2,0,0.846,8,1,0,0.889,17.84,4.38,19,3,5,Bob Stoops (11-2),Orange Bowl-L,
9,2014,Big 12,8,5,0,0.615,5,4,0,0.556,10.21,3.9,4,4,,Bob Stoops (8-5),Russell Athletic Bowl-L,
10,2013,Big 12,11,2,0,0.846,7,2,0,0.778,13.19,4.12,16,6,6,Bob Stoops (11-2),Sugar Bowl-W,
11,2012,Big 12,10,3,0,0.769,8,1,0,0.889,14.32,6.17,4,4,15,Bob Stoops (10-3),Cotton Bowl-L,
12,2011,Big 12,10,3,0,0.769,6,3,0,0.667,19.75,7.82,1,1,16,Bob Stoops (10-3),Insight Bowl-W,
13,2010,Big 12,12,2,0,0.857,6,2,0,0.75,17.11,5.4,7,3,6,Bob Stoops (12-2),Fiesta Bowl-W,
14,2009,Big 12,8,5,0,0.615,5,3,0,0.625,13.21,4.82,3,3,,Bob Stoops (8-5),Sun Bowl-W,
15,2008,Big 12,12,2,0,0.857,7,1,0,0.875,24.79,6.72,4,1,5,Bob Stoops (12-2),BCS Championship-L,
16,2007,Big 12,11,3,0,0.786,6,2,0,0.75,15.87,2.87,8,3,8,Bob Stoops (11-3),Fiesta Bowl-L,
17,2006,Big 12,11,3,0,0.786,7,1,0,0.875,12.75,2.83,10,7,11,Bob Stoops (11-3),Fiesta Bowl-L,
18,2005,Big 12,8,4,0,0.667,6,2,0,0.75,11.24,6.99,7,7,22,Bob Stoops (8-4),Holiday Bowl-W,
19,2004,Big 12,12,1,0,0.923,8,0,0,1,21.23,6.85,2,2,3,Bob Stoops (12-1),Orange Bowl-L,
20,2003,Big 12,12,2,0,0.857,8,0,0,1,20.27,4.06,1,1,3,Bob Stoops (12-2),Sugar Bowl-L,
21,2002,Big 12,12,2,0,0.857,6,2,0,0.75,19.02,4.31,2,1,5,Bob Stoops (12-2),Rose Bowl-W,
22,2001,Big 12,11,2,0,0.846,6,2,0,0.75,15.39,2.16,3,2,6,Bob Stoops (11-2),Cotton Bowl-W,
23,2000,Big 12,13,0,0,1,8,0,0,1,21.56,5.32,19,1,1,Bob Stoops (13-0),Orange Bowl-W,
24,1999,Big 12,7,5,0,0.583,5,3,0,0.625,10.14,0.64,,23,,Bob Stoops (7-5),Independence Bowl-L,
25,1998,Big 12,5,6,0,0.455,3,5,0,0.375,1.62,4.71,,,,John Blake (5-6),,
26,1997,Big 12,4,8,0,0.333,2,6,0,0.25,-5.08,2.34,,,,John Blake (4-8),,
27,1996,Big 12,3,8,0,0.273,3,5,0,0.375,-5.1,3.81,,,,John Blake (3-8),,
28,1995,Big 8,5,5,1,0.5,2,5,0,0.286,0.88,3.43,15,10,,Howard Schnellenberger (5-5-1),,
29,1994,Big 8,6,6,0,0.5,4,3,0,0.571,3.35,5.27,16,15,,Gary Gibbs (6-6),Copper Bowl-L,
30,1993,Big 8,9,3,0,0.75,4,3,0,0.571,17.31,5.31,22,9,17,Gary Gibbs (9-3),Sun Bowl-W,
31,1992,Big 8,5,4,2,0.545,3,2,2,0.571,4.39,1.49,15,13,,Gary Gibbs (5-4-2),,
32,1991,Big 8,9,3,0,0.75,5,2,0,0.714,14.36,1.36,10,5,16,Gary Gibbs (9-3),Gator Bowl-W,
33,1990,Big 8,8,3,0,0.727,5,2,0,0.714,17.47,4.29,22,4,17,Gary Gibbs (8-3),,
